ts,util,mem,temp,power,clocks,pstate,gen,width
2026/09/18 11:24:25.626, 99, 658, 74, 258.03, 1710, P2, 3, 16
2026/09/18 11:24:55.711, 99, 658, 77, 258.09, 1695, P2, 3, 16
2026/09/18 11:25:25.811, 99, 658, 78, 260.23, 1695, P2, 3, 16
2026/09/18 11:25:55.896, 99, 658, 78, 256.31, 1680, P2, 3, 16
2026/09/18 11:26:33.393, 99, 658, 78, 258.94, 1680, P2, 3, 16
2026/09/18 11:27:03.477, 99, 658, 78, 256.16, 1680, P2, 3, 16
2026/09/18 11:27:33.575, 99, 658, 78, 259.84, 1695, P2, 3, 16
2026/09/18 11:28:03.664, 99, 561, 77, 259.12, 1695, P2, 3, 16
2026/09/18 11:28:33.756, 99, 561, 77, 258.42, 1695, P2, 3, 16
2026/09/18 11:29:03.857, 99, 561, 77, 258.48, 1680, P2, 3, 16
2026/09/18 11:29:33.958, 99, 561, 77, 259.29, 1695, P2, 3, 16
2026/09/18 11:30:04.058, 99, 485, 77, 258.93, 1695, P2, 3, 16
2026/09/18 11:30:34.149, 99, 485, 77, 258.65, 1695, P2, 3, 16
2026/09/18 11:31:04.252, 99, 485, 77, 258.90, 1695, P2, 3, 16
2026/09/18 11:31:34.355, 99, 485, 77, 258.99, 1695, P2, 3, 16
2026/09/18 11:32:04.455, 99, 485, 77, 258.97, 1695, P2, 3, 16
2026/09/18 11:32:34.557, 99, 493, 78, 272.30, 1755, P2, 3, 16
2026/09/18 11:33:04.658, 99, 493, 78, 269.92, 1770, P2, 3, 16
2026/09/18 11:33:34.763, 99, 493, 78, 270.09, 1785, P2, 3, 16
2026/09/18 11:34:04.863, 99, 493, 78, 270.55, 1740, P2, 3, 16
2026/09/18 11:34:34.958, 99, 493, 78, 270.78, 1770, P2, 3, 16
2026/09/18 11:35:05.059, 99, 584, 77, 259.30, 1695, P2, 3, 16
2026/09/18 11:35:35.160, 99, 584, 76, 257.96, 1695, P2, 3, 16
2026/09/18 11:36:05.262, 99, 584, 76, 257.24, 1695, P2, 3, 16
2026/09/18 11:36:35.364, 99, 584, 76, 257.03, 1695, P2, 3, 16
2026/09/18 11:37:05.455, 99, 584, 76, 257.29, 1695, P2, 3, 16
2026/09/18 11:37:35.556, 99, 584, 76, 257.64, 1695, P2, 3, 16
2026/09/18 11:38:05.660, 99, 584, 77, 257.93, 1695, P2, 3, 16
2026/09/18 11:38:35.760, 99, 584, 77, 258.44, 1695, P2, 3, 16
2026/09/18 11:39:05.850, 99, 584, 77, 259.00, 1695, P2, 3, 16
2026/09/18 11:39:35.949, 99, 584, 77, 258.92, 1695, P2, 3, 16
2026/09/18 11:40:06.038, 99, 584, 77, 259.00, 1695, P2, 3, 16
2026/09/18 11:40:36.141, 99, 584, 77, 259.05, 1695, P2, 3, 16
2026/09/18 11:41:06.243, 99, 584, 77, 258.92, 1695, P2, 3, 16
2026/09/18 11:41:36.338, 99, 584, 77, 258.74, 1695, P2, 3, 16
2026/09/18 11:42:06.439, 99, 584, 77, 258.53, 1695, P2, 3, 16
2026/09/18 11:42:36.541, 99, 584, 77, 258.48, 1695, P2, 3, 16
2026/09/18 11:43:06.642, 99, 584, 77, 258.22, 1695, P2, 3, 16
2026/09/18 11:43:36.732, 99, 584, 77, 258.43, 1695, P2, 3, 16
2026/09/18 11:44:06.821, 99, 584, 77, 257.97, 1695, P2, 3, 16
2026/09/18 11:44:36.921, 99, 584, 77, 258.38, 1695, P2, 3, 16
2026/09/18 11:45:07.021, 99, 584, 77, 258.42, 1695, P2, 3, 16
2026/09/18 11:45:37.124, 99, 584, 77, 258.53, 1695, P2, 3, 16
2026/09/18 11:46:07.214, 99, 584, 77, 258.73, 1695, P2, 3, 16
2026/09/18 11:46:37.315, 99, 584, 77, 258.49, 1695, P2, 3, 16
2026/09/18 11:47:07.417, 99, 584, 77, 258.64, 1695, P2, 3, 16
2026/09/18 11:47:37.519, 99, 584, 77, 258.15, 1695, P2, 3, 16
2026/09/18 11:48:07.615, 99, 584, 77, 258.34, 1695, P2, 3, 16
2026/09/18 11:48:37.704, 99, 584, 77, 258.42, 1695, P2, 3, 16
2026/09/18 11:49:07.792, 99, 584, 77, 258.85, 1695, P2, 3, 16
2026/09/18 11:49:37.882, 99, 584, 77, 258.40, 1695, P2, 3, 16
2026/09/18 11:50:07.982, 99, 584, 77, 258.64, 1695, P2, 3, 16
2026/09/18 11:50:38.068, 99, 584, 77, 258.71, 1695, P2, 3, 16
2026/09/18 11:51:08.157, 99, 584, 77, 258.38, 1695, P2, 3, 16
2026/09/18 11:51:38.256, 99, 584, 77, 257.98, 1695, P2, 3, 16
2026/09/18 11:52:08.357, 99, 584, 77, 257.66, 1695, P2, 3, 16
2026/09/18 11:52:38.448, 99, 584, 77, 257.78, 1695, P2, 3, 16
2026/09/18 11:53:08.539, 99, 584, 77, 257.73, 1695, P2, 3, 16
2026/09/18 11:53:38.640, 99, 584, 77, 257.91, 1695, P2, 3, 16
2026/09/18 11:54:08.735, 0, 296, 63, 20.50, 210, P8, 1, 16
